Context, Total Mem, Current Mem, Peak Mem, Total Count, Current Count, Peak Count, Global Mem Count, Global Peak Count
Bikeshed,10091536,0,8536352,72773,0,19,8535936,17
FSStorageAPI,1664,0,1032,6,0,3,416,2
MakeWCharString,196003994,0,5418,924674,0,31,0,7
Blake2,48,0,48,1,0,1,48,1
Blake 3,48,0,48,1,0,1,48,1
MeowHashAPI,48,0,48,1,0,1,48,1
GetFilesRecursively,147536,0,73768,2,0,1,0,0
DefaultHashRegistry,76,0,76,1,0,1,76,1
Strdup,91,0,72,4,0,3,24,1
ConcatPath,29355480,0,3540,269331,0,38,39,15
ReadVersionIndexFromBuffer,90973149,0,90973149,1,0,1,90973149,1
CompressionRegistry,92,0,92,1,0,1,92,1
HPCDCCreateChunker,56,0,56,1,0,1,0,0
Longtail_Alloc,192,0,48,8,0,2,24,1
RateLimitedProgress,80,0,40,2,0,1,40,1
CreateVersionIndex,176,0,176,1,0,1,176,1
CreateBlockStoreProxyAPI,72,0,72,1,0,1,72,1
FSBlockStoreAPI,357,0,357,2,0,2,357,2
CacheBlockStore,46101792,0,45136800,23062,0,3276,96672,3274
CompressBlockStore,64601485902,0,5445612697,14086,0,3776,5445612697,3772
LRUBlockStoreAPI,622064,0,135032,14086,0,3769,131792,3768
ShareBlockStoreAPI,654224,0,131576,14864,0,3746,128688,3743
CreateVersionDiff,9932260,0,9932260,2,0,2,967088,1
GetRequiredChunkHashes,49330752,0,49330752,1,0,1,0,0
AsyncGetExistingContentAPIProxy,24,0,24,1,0,1,0,0
Longtail_GetParentPath,22344951,0,1671,247092,0,18,0,3
CreateStoreIndexFromBlocks,67918504,0,33959348,4,0,3,96,1
Longtail_CopyStoreIndex,192,0,96,2,0,1,0,0
Longtail_GetExistingStoreIndex,197916044,0,99254488,3,0,2,0,0
GetMissingChunks,52,0,52,1,0,1,0,0
ReadStoreIndexFromBuffer,33959156,0,33959156,1,0,1,33959156,1
MergeStoreIndex,68191120,0,68054716,4,0,3,33959156,1
ChangeVersion,50297744,0,50297744,1,0,1,50297744,1
CreateAssetWriteList,1934008,0,1934008,1,0,1,1934008,1
FSBlockStore,93648,0,93648,1,0,1,0,0
WriteAssets,127477768,0,127477768,2,0,2,127477768,2
WritePartialAssetFromBlocks,6086904828,0,6922624,10573,0,12,0,0
ReadStoredBlockFromBuffer,16062853089,0,567479533,5338,0,81,530948265,74
ZStdCompressionAPI,32,0,32,1,0,1,32,1
Longtail_CopyBlockIndex,34215284,0,34215284,5338,0,5338,7406280,693
WriteAssetsFromBlock,23189808,0,280176,1923,0,13,0,8
ReadStoredBlock,5462419323,0,72100501,1704,0,12,0,4
Global,93274417264,0,6332429987,1604902,0,15402,93274417264,15402
